ZIP_CODE,CITY_NAME,COUNTY_NAME,COUNTY_FIPS_CODE,STATE_CODE,TOT_HOME_AVAILABLE_2020,TOT_HOME_AVAILABLE_2021,RT_BUILDING_PERMIT_YOY_2022_2021,AVG_PEOPLE_PER_HOME,EST_TOTAL_HOME_DEMAND_2030,TOT_BALANCE_INVENTORY,TOT_FX_CONSTRUCTION_5Y,TOT_HOUSING_UNIT,TOT_OWNER_OCCUPIED_HOUSING_UNIT,TOT_RENTER_OCCUPIED_HOUSING_UNIT,RT_VACANCY,RT_VACANCY_RENTAL,LBL_LATEST_HOUSING_YEAR_DATA,IDX_DEMAND_SUPPLY,UPDATED_AT
97812,Arlington,Gilliam County,41021,OR,414,363,,2.009661836,430.9182692,16.91826923,,363,222,89,0.143250689,0,2021,52.79483662,12/3/2024
97857,Lostine,Wallowa County,41063,OR,301,275,,2.129568106,282.6864275,-18.31357254,,275,189,40,0.167272727,0,2021,42.34960963,12/3/2024
97050,Rufus,Sherman County,41055,OR,141,135,,1.496453901,100.9052133,-40.09478673,,135,84,21,0.222222222,0.08,2021,19.39470079,12/3/2024
98205,Everett,Snohomish County,53061,WA,5670,,,2.78377425,6505.55626,835.5562595,,,,,,,,63.73211376,12/3/2024
97750,Mitchell,Wheeler County,41069,OR,240,254,,1.416666667,254.1176471,14.11764706,,254,92,60,0.401574803,0.077,2021,54.63910879,12/3/2024
97842,Imnaha,Wallowa County,41063,OR,155,142,,0.587096774,103.9010989,-51.0989011,,142,44,12,0.605633803,0,2021,14.74142333,12/3/2024
97033,Kent,Sherman County,41055,OR,33,38,,1.272727273,95.07142857,62.07142857,,38,9,22,0.184210526,0,2021,100,12/3/2024
97823,Condon,Gilliam County,41021,OR,674,731,,1.504451039,720.5285996,46.52859961,,731,449,134,0.20246238,0.076,2021,55.68765925,12/3/2024
97885,Wallowa,Wallowa County,41063,OR,639,698,,1.946791862,622.562701,-16.43729904,,698,444,127,0.181948424,0.059,2021,45.95626963,12/3/2024
97874,Spray,Wheeler County,41069,OR,274,247,,1.572992701,242.2134571,-31.78654292,,247,106,53,0.356275304,0.102,2021,36.68406445,12/3/2024
97065,Wasco,Sherman County,41055,OR,304,342,,2.059210526,264.1789137,-39.82108626,,342,236,52,0.157894737,0,2021,35.14552637,12/3/2024
97039,Moro,Sherman County,41055,OR,256,221,,1.9296875,269.4736842,13.47368421,,221,101,68,0.235294118,0,2021,54.00320558,12/3/2024
97846,Joseph,Wallowa County,41063,OR,1447,1505,,1.350380097,1597.328045,150.328045,,1505,765,253,0.32358804,0.208,2021,59.26730608,12/3/2024
97828,Enterprise,Wallowa County,41063,OR,1692,1671,,1.852836879,1788.608612,96.60861244,,1671,966,429,0.165170557,0,2021,54.46182669,12/3/2024
97029,Grass Valley,Sherman County,41055,OR,171,165,,1.830409357,180.2875399,9.287539936,,165,69,49,0.284848485,0,2021,54.17589495,12/3/2024
97830,Fossil,Wheeler County,41069,OR,514,446,,1.284046693,509.3272727,-4.672727273,,446,249,67,0.291479821,0.13,2021,47.66440677,12/3/2024
99359,Starbuck,Columbia County,53013,WA,102,107,1.5,1.647058824,76.5,-25.5,,107,54,33,0.186915888,0,2021,22.92343619,12/3/2024
99328,Dayton,Columbia County,53013,WA,1924,1936,1.5,1.932432432,1818.433566,-105.5664336,,1936,1234,439,0.135847107,0,2021,42.96315279,12/3/2024
97058,The Dalles,Wasco County,41065,OR,8610,8731,-0.2,2.395702671,8930.156591,320.1565909,,8731,5205,2918,0.069636926,0.025,2021,52.41679247,12/3/2024
97037,Maupin,Wasco County,41065,OR,584,607,-0.2,1.378424658,454.8670807,-129.1329193,,607,264,130,0.350906096,0,2021,25.8895692,12/3/2024
97057,Shaniko,Wasco County,41065,OR,16,20,-0.2,0.75,24,8,,20,6,2,0.6,0,2021,99.94721251,12/3/2024
97063,Tygh Valley,Wasco County,41065,OR,757,825,-0.2,0.960369881,837.1774415,80.17744154,,825,362,50,0.500606061,0,2021,59.47529703,12/3/2024
97040,Mosier,Wasco County,41065,OR,758,801,-0.2,2.275725594,839.7321739,81.73217391,,801,452,162,0.233458177,0,2021,59.6715915,12/3/2024
97001,Antelope,Wasco County,41065,OR,113,67,-0.2,3.407079646,127.3818182,14.38181818,,67,10,33,0.358208955,0,2021,61.66872973,12/3/2024
97021,Dufur,Wasco County,41065,OR,638,698,-0.2,2.010971787,744.416212,106.416212,,698,393,200,0.150429799,0,2021,65.72776395,12/3/2024
97114,Dayton,Yamhill County,41071,OR,1594,1624,-0.12803532,2.932873275,1896.092834,302.0928342,,1624,1245,313,0.040640394,0.063,2021,68.06129128,12/3/2024
97101,Amity,Yamhill County,41071,OR,1459,1478,-0.12803532,2.838245374,1343.435644,-115.5643564,,1478,1061,337,0.054127199,0.017,2021,40.46350407,12/3/2024
97396,Willamina,Yamhill County,41071,OR,1538,1569,-0.12803532,2.440182055,1595.372768,57.37276845,,1569,1035,389,0.092415551,0.074,2021,52.42903591,12/3/2024
97111,Carlton,Yamhill County,41071,OR,1317,1478,-0.12803532,2.612756264,1727.294682,410.2946818,,1478,1061,279,0.093369418,0.051,2021,80.59240521,12/3/2024
97378,Sheridan,Yamhill County,41071,OR,3531,3091,-0.12803532,3.012461059,3855.651499,324.6514995,,3091,2063,911,0.037851828,0,2021,58.04044668,12/3/2024
97148,Yamhill,Yamhill County,41071,OR,1175,1162,-0.12803532,3.023829787,961.0329299,-213.9670701,,1162,896,201,0.055938038,0,2021,29.89669299,12/3/2024
97132,Newberg,Yamhill County,41071,OR,11234,11882,-0.12803532,2.657201353,12619.66842,1385.66842,,11882,7829,3547,0.042585423,0.015,2021,61.26545627,12/3/2024
97127,Lafayette,Yamhill County,41071,OR,1390,1473,-0.12803532,3.037410072,1553.297016,163.2970156,,1473,1362,111,0,0,2021,60.663019,12/3/2024
97115,Dundee,Yamhill County,41071,OR,1434,1371,-0.12803532,2.80404463,1341.990052,-92.00994777,,1371,1117,207,0.034281546,0.108,2021,42.00857815,12/3/2024
97128,McMinnville,Yamhill County,41071,OR,15016,14880,-0.12803532,2.547016516,15591.18276,575.1827642,,14880,9466,4876,0.036155914,0.026,2021,52.53185431,12/3/2024
98953,Zillah,Yakima County,53077,WA,2383,2302,-0.324881141,2.711288292,2751.459526,368.4595264,,2302,1637,547,0.051259774,0.063,2021,64.47725288,12/3/2024
98903,Yakima,Yakima County,53077,WA,6112,6353,-0.324881141,2.520287958,8387.533628,2275.533628,,6353,4552,1494,0.048323627,0.05,2021,86.83323622,12/3/2024
98936,Moxee,Yakima County,53077,WA,2194,2359,-0.324881141,3.181859617,2777.935253,583.9352528,,2359,1916,244,0.084357779,0,2021,75.93129982,12/3/2024
98937,Naches,Yakima County,53077,WA,2489,2607,-0.324881141,1.749296906,3198.999541,709.9995407,,2607,1274,581,0.288454162,0,2021,77.89324501,12/3/2024
98932,Granger,Yakima County,53077,WA,1432,1387,-0.324881141,3.80027933,1243.329658,-188.6703418,,1387,688,674,0.018024513,0.016,2021,35.06720688,12/3/2024
98951,Wapato,Yakima County,53077,WA,3998,3896,-0.324881141,3.369934967,4050.226527,52.22652713,,3896,1938,1666,0.074948665,0.046,2021,49.93959386,12/3/2024
98923,Cowiche,Yakima County,53077,WA,538,444,-0.324881141,1.890334572,603.5968535,65.59685349,,444,121,289,0.076576577,0,2021,61.1197566,12/3/2024
98935,Mabton,Yakima County,53077,WA,1157,1185,-0.324881141,3.801210026,1217.507049,60.50704866,,1185,743,383,0.04978903,0.035,2021,53.96879336,12/3/2024
98948,Toppenish,Yakima County,53077,WA,3615,3734,-0.324881141,3.485753804,3807.7847,192.7846996,,3734,2182,1428,0.033208356,0.008,2021,54.07483995,12/3/2024
98901,Yakima,Yakima County,53077,WA,11503,11730,-0.324881141,2.731896027,13136.29788,1633.297884,,11730,5644,5246,0.071611253,0.038,2021,63.1800528,12/3/2024
98952,White Swan,Yakima County,53077,WA,653,598,-0.324881141,3.254211332,535.9209412,-117.0790588,,598,345,184,0.115384615,0.026,2021,30.18481495,12/3/2024
98938,Outlook,Yakima County,53077,WA,523,761,-0.324881141,4.164435946,755.2043159,232.2043159,,761,525,236,0,0,2021,94.19459499,12/3/2024
98933,Harrah,Yakima County,53077,WA,367,409,-0.324881141,2.773841962,535.3585462,168.3585462,,409,274,124,0.026894866,0,2021,95.71014819,12/3/2024
98947,Tieton,Yakima County,53077,WA,987,919,-0.324881141,3.309017224,792.6824862,-194.3175138,,919,553,352,0.01523395,0,2021,28.37909049,12/3/2024
98930,Grandview,Yakima County,53077,WA,4922,4830,-0.324881141,3.100975213,4681.752997,-240.2470026,,4830,2488,1996,0.071635611,0.013,2021,43.58523367,12/3/2024
98942,Selah,Yakima County,53077,WA,7304,7477,-0.324881141,2.389649507,7749.253581,445.2535808,,7477,4969,2048,0.061522001,0,2021,54.85854531,12/3/2024
98902,Yakima,Yakima County,53077,WA,17446,17249,-0.324881141,2.678436318,17096.54237,-349.4576271,,17249,8450,7944,0.049568091,0.027,2021,46.54089611,12/3/2024
98944,Sunnyside,Yakima County,53077,WA,7013,6897,-0.324881141,3.557536005,7852.907171,839.9071706,,6897,4129,2449,0.046251994,0.033,2021,60.89762848,12/3/2024
98908,Yakima,Yakima County,53077,WA,15061,15286,-0.324881141,2.45694177,16428.96079,1367.960788,,15286,10254,4408,0.040821667,0.019,2021,57.92591761,12/3/2024
98292,Stanwood,Snohomish County,53061,WA,9372,9552,-0.195780591,2.460840802,11776.46273,2404.462733,,9552,7084,1616,0.08919598,0.05,2021,74.94612898,12/3/2024
98275,Mukilteo,Snohomish County,53061,WA,8708,8552,-0.195780591,2.461185117,9042.798059,334.798059,,8552,5837,2467,0.028999065,0.053,2021,52.54649114,12/3/2024
98271,Marysville,Snohomish County,53061,WA,11368,11745,-0.195780591,2.50466221,13619.00214,2251.002142,,11745,8294,2564,0.075521499,0.07,2021,68.93355322,12/3/2024
98256,Index,Snohomish County,53061,WA,438,385,-0.195780591,0.842465753,315.7398374,-122.2601626,,385,113,24,0.644155844,0,2021,19.93154606,12/3/2024
98204,Everett,Snohomish County,53061,WA,18067,18172,-0.195780591,2.44379255,17424.14674,-642.8532569,,18172,6096,10879,0.06587057,0.059,2021,44.94385325,12/3/2024
98296,Snohomish,Snohomish County,53061,WA,10250,9399,-0.195780591,3.00302439,8826.102141,-1423.897859,,9399,8223,949,0.024151505,0.034,2021,34.33149299,12/3/2024
98241,Darrington,Snohomish County,53061,WA,1061,1053,-0.195780591,1.829406221,1176.884596,115.8845956,,1053,567,282,0.193732194,0,2021,59.81495468,12/3/2024
98037,Lynnwood,Snohomish County,53061,WA,11404,11033,-0.195780591,2.628639074,11652.41752,248.4175201,,11033,6636,4069,0.029728995,0.066,2021,50.83514457,12/3/2024
98021,Bothell,Snohomish County,53061,WA,11849,12076,-0.195780591,2.817284159,14693.93844,2844.93844,,12076,9320,2489,0.02210997,0,2021,73.25585056,12/3/2024
98272,Monroe,Snohomish County,53061,WA,9651,10081,-0.195780591,3.191482748,10855.1425,1204.142495,,10081,7616,2051,0.041067354,0.007,2021,61.41156779,12/3/2024
98026,Edmonds,Snohomish County,53061,WA,15331,15951,-0.195780591,2.49768443,17310.83378,1979.833777,,15951,11256,4101,0.037239045,0.057,2021,61.86041814,12/3/2024
98294,Sultan,Snohomish County,53061,WA,2941,2682,-0.195780591,2.485549133,3063.709302,122.7093023,,2682,2017,539,0.046979866,0,2021,52.88298074,12/3/2024
98258,Lake Stevens,Snohomish County,53061,WA,11719,17965,-0.195780591,2.862445601,17368.01565,5649.015651,,17965,13789,3570,0.033732257,0.035,2021,98.10265245,12/3/2024
98290,Snohomish,Snohomish County,53061,WA,14380,14822,-0.195780591,2.57837274,17922.93228,3542.932276,,14822,11307,2738,0.052422075,0.029,2021,73.90076572,12/3/2024
98223,Arlington,Snohomish County,53061,WA,18986,17916,-0.195780591,2.424259981,21302.99572,2316.99572,,17916,13204,3469,0.069379326,0.04,2021,61.13103578,12/3/2024
98252,Granite Falls,Snohomish County,53061,WA,4257,4381,-0.195780591,2.347427766,4421.009307,164.0093065,,4381,2897,982,0.114585711,0.068,2021,52.55468514,12/3/2024
98270,Marysville,Snohomish County,53061,WA,19300,19393,-0.195780591,2.710207254,21534.51546,2234.515457,,19393,13259,5690,0.022894859,0.015,2021,60.4882403,12/3/2024
98012,Bothell,Snohomish County,53061,WA,25605,27552,-0.195780591,2.734192541,33040.83332,7435.833321,,27552,18054,8677,0.0297982,0.027,2021,78.42220131,12/3/2024
98036,Lynnwood,Snohomish County,53061,WA,15605,15923,-0.195780591,2.613521307,17422.08869,1817.088687,,15923,9194,5897,0.05225146,0.052,2021,60.55650593,12/3/2024
98203,Everett,Snohomish County,53061,WA,14663,14620,-0.195780591,2.448407556,16176.63689,1513.63689,,14620,8927,4949,0.050889193,0.068,2021,59.19940858,12/3/2024
98251,Gold Bar,Snohomish County,53061,WA,2095,2256,-0.195780591,1.949403341,2631.061459,536.0614594,,2256,1631,298,0.144946809,0.01,2021,74.87613677,12/3/2024
98201,Everett,Snohomish County,53061,WA,14325,14643,-0.195780591,2.139267016,15314.12384,989.1238375,,14643,5948,7368,0.090623506,0.063,2021,55.6892258,12/3/2024
98043,Mountlake Terrace,Snohomish County,53061,WA,8954,9027,-0.195780591,2.3819522,9831.431545,877.4315454,,9027,4849,3767,0.045530076,0,2021,58.66177502,12/3/2024
98087,Lynnwood,Snohomish County,53061,WA,15654,16067,-0.195780591,2.657084451,17548.18142,1894.18142,,16067,8009,7394,0.041326943,0.039,2021,61.02484198,12/3/2024
98208,Everett,Snohomish County,53061,WA,21666,22507,-0.195780591,2.686744208,26008.05831,4342.058305,,22507,15142,6745,0.027546985,0.021,2021,69.17969097,12/3/2024
98020,Edmonds,Snohomish County,53061,WA,9264,9411,-0.195780591,2.052029361,9760.581589,496.5815886,,9411,6445,2317,0.068961853,0.077,2021,54.1030066,12/3/2024
97635,New Pine Creek,Lake County,41037,OR,194,147,-0.086956522,0.845360825,188.0853659,-5.914634146,,147,42,33,0.489795918,0,2021,45.46698048,12/3/2024
97640,Summer Lake,Lake County,41037,OR,158,118,-0.086956522,1.132911392,105.9217877,-52.07821229,,118,26,28,0.542372881,0,2021,14.74772809,12/3/2024
97638,Silver Lake,Lake County,41037,OR,280,239,-0.086956522,2.053571429,198.6782609,-81.32173913,,239,94,76,0.288702929,0.183,2021,18.77084999,12/3/2024
97735,Fort Rock,Lake County,41037,OR,89,89,-0.086956522,0.539325843,181.7083333,92.70833333,,89,26,39,0.269662921,0,2021,100,12/3/2024
97630,Lakeview,Lake County,41037,OR,2455,2350,-0.086956522,1.953971487,3046.103815,591.1038149,,2350,1414,634,0.128510638,0.016,2021,73.32527773,12/3/2024
97637,Plush,Lake County,41037,OR,91,99,-0.086956522,1.384615385,85.94444444,-5.055555556,,99,49,13,0.373737374,0,2021,42.89256339,12/3/2024
97620,Adel,Lake County,41037,OR,129,71,-0.086956522,0.821705426,124.1320755,-4.867924528,,71,13,14,0.61971831,0,2021,44.72261817,12/3/2024
97636,Paisley,Lake County,41037,OR,257,223,-0.086956522,1.976653696,176.0551181,-80.94488189,,223,68,118,0.165919283,0.04,2021,16.25208549,12/3/2024
97641,Christmas Valley,Lake County,41037,OR,981,951,-0.086956522,1.467889908,1032.775,51.775,,951,429,341,0.190325973,0,2021,54.01821997,12/3/2024
97466,Powers,Coos County,41011,OR,563,551,-0.586956522,2.126110124,673.5304929,110.5304929,,551,341,123,0.157894737,0,2021,68.76019754,12/3/2024
97459,North Bend,Coos County,41011,OR,6204,6497,-0.586956522,2.326563507,7024.093668,820.0936677,,6497,3916,1984,0.091888564,0.015,2021,62.1735089,12/3/2024
97411,Bandon,Coos County,41011,OR,4092,4333,-0.586956522,1.849462366,3708.645349,-383.3546512,,4333,2394,1043,0.206785137,0.09,2021,38.9768413,12/3/2024
97449,Lakeside,Coos County,41011,OR,1647,1566,-0.586956522,1.187006679,1807.066496,160.0664962,,1566,680,212,0.430395913,0,2021,58.5789439,12/3/2024
97420,Coos Bay,Coos County,41011,OR,13298,13016,-0.586956522,2.098511054,13693.99505,395.9950548,,13016,7849,4139,0.078979717,0.012,2021,51.656236,12/3/2024
97423,Coquille,Coos County,41011,OR,3041,2991,-0.586956522,2.144360408,2284.130962,-756.8690385,,2991,2366,521,0.03477098,0,2021,23.03761549,12/3/2024
97414,Broadbent,Coos County,41011,OR,128,110,-0.586956522,1.203125,280.1038961,152.1038961,,110,58,0,0.472727273,,2021,100,12/3/2024
97458,Myrtle Point,Coos County,41011,OR,2323,2238,-0.586956522,1.931984503,2491.738414,168.7384135,,2238,1391,606,0.107685433,0.029,2021,56.05784739,12/3/2024
97456,Monroe,Benton County,41003,OR,1308,1252,-0.355555556,2.336391437,1323.408377,15.40837696,,1252,913,275,0.051118211,0,2021,49.80782583,12/3/2024
97333,Corvallis,Benton County,41003,OR,10548,10651,-0.355555556,2.227246871,10143.91368,-404.0863236,,10651,4499,5475,0.063562107,0.052,2021,44.66372738,12/3/2024
97370,Philomath,Benton County,41003,OR,3607,3801,-0.355555556,2.456612143,4191.951924,584.9519242,,3801,2697,889,0.056564062,0.075,2021,65.2527575,12/3/2024
97324,Alsea,Benton County,41003,OR,872,762,-0.355555556,1.714449541,830.587291,-41.41270903,,762,345,196,0.290026247,0,2021,43.72071448,12/3/2024
97330,Corvallis,Benton County,41003,OR,19181,19565,-0.355555556,2.249882696,21434.00635,2253.006349,,19565,9158,9321,0.055507283,0.041,2021,60.66101126,12/3/2024
99003,Chattaroy,Spokane County,53063,WA,1914,1973,0.090062112,2.147335423,2049.516788,135.5167883,,1973,1507,184,0.142929549,0.182,2021,55.86937263,12/3/2024
99202,Spokane,Spokane County,53063,WA,8618,8335,0.090062112,2.493385936,9471.45793,853.45793,,8335,3479,4144,0.085422915,0.025,2021,58.76845496,12/3/2024
99021,Mead,Spokane County,53063,WA,3780,3916,0.090062112,2.497619048,4459.046711,679.0467112,,3916,3236,297,0.097803882,0,2021,67.04696727,12/3/2024
99217,Spokane,Spokane County,53063,WA,7459,7669,0.090062112,2.422978952,8906.80457,1447.80457,,7669,5030,2489,0.019559265,0,2021,68.53195606,12/3/2024
99037,Veradale,Spokane County,53063,WA,5816,5758,0.090062112,2.508425034,7413.018027,1597.018027,,5758,3762,1886,0.019103856,0,2021,76.79801897,12/3/2024
99023,Mica,Spokane County,53063,WA,238,277,0.090062112,2.693277311,462.2620905,224.2620905,,277,277,0,0,,2021,100,12/3/2024
99201,Spokane,Spokane County,53063,WA,8504,8597,0.090062112,1.558795861,10071.23537,1567.235365,,8597,2089,5554,0.110968943,0.059,2021,67.52471162,12/3/2024
99027,Otis Orchards,Spokane County,53063,WA,2446,2499,0.090062112,2.446852003,2051.207018,-394.7929825,,2499,2247,152,0.040016006,0,2021,32.02215129,12/3/2024
99223,Spokane,Spokane County,53063,WA,14913,15137,0.090062112,2.196070542,17702.07252,2789.072519,,15137,9401,4952,0.051793618,0.057,2021,67.80497506,12/3/2024
99206,Spokane,Spokane County,53063,WA,17074,17258,0.090062112,2.37261333,20630.83747,3556.837472,,17258,10278,6300,0.039402016,0.012,2021,69.99204289,12/3/2024
99019,Liberty Lake,Spokane County,53063,WA,4830,4824,0.090062112,2.534989648,5342.822607,512.822607,,4824,2881,1494,0.093076285,0.06,2021,59.50197137,12/3/2024
99208,Spokane,Spokane County,53063,WA,23082,23435,0.090062112,2.386794905,26712.39153,3630.391527,,23435,14593,7943,0.038361425,0.028,2021,64.75067047,12/3/2024
99025,Newman Lake,Spokane County,53063,WA,2379,2387,0.090062112,2.316099201,2579.768603,200.7686025,,2387,1960,130,0.124423963,0,2021,57.2649505,12/3/2024
99224,Spokane,Spokane County,53063,WA,9842,10235,0.090062112,2.252794148,11721.4438,1879.443803,,10235,6519,3241,0.04640938,0.017,2021,68.20947029,12/3/2024
99205,Spokane,Spokane County,53063,WA,18801,18577,0.090062112,2.32471677,19572.70691,771.7069119,,18577,12052,5678,0.045594014,0.024,2021,52.81339135,12/3/2024
99039,Waverly,Spokane County,53063,WA,62,65,0.090062112,2.177419355,77.15555556,15.15555556,,65,49,16,0,0,2021,73.70207391,12/3/2024
99036,Valleyford,Spokane County,53063,WA,779,693,0.090062112,2.302952503,781.6053512,2.605351171,,693,535,96,0.089466089,0,2021,48.9415011,12/3/2024
99022,Medical Lake,Spokane County,53063,WA,3394,3231,0.090062112,2.56865056,3943.704978,549.7049782,,3231,2512,552,0.051686784,0.06,2021,65.23144149,12/3/2024
99216,Spokane,Spokane County,53063,WA,11732,12578,0.090062112,2.230310263,13338.95131,1606.951311,,12578,5255,6281,0.082843059,0.035,2021,62.66479251,12/3/2024
99212,Spokane,Spokane County,53063,WA,9386,9069,0.090062112,2.25772427,9912.636497,526.6364966,,9069,5839,2668,0.061969346,0.01,2021,54.36030285,12/3/2024
99004,Cheney,Spokane County,53063,WA,8855,8958,0.090062112,2.392885375,10360.29567,1505.295672,,8958,4746,3526,0.076579594,0.06,2021,66.05612085,12/3/2024
99203,Spokane,Spokane County,53063,WA,9624,9517,0.090062112,2.219347465,10665.74765,1041.747647,,9517,7026,2112,0.039823474,0.026,2021,59.71458936,12/3/2024
99207,Spokane,Spokane County,53063,WA,13399,13438,0.090062112,2.315098142,15311.22995,1912.229948,,13438,6749,6065,0.046435481,0,2021,63.25456205,12/3/2024
99005,Colbert,Spokane County,53063,WA,3335,3722,0.090062112,2.929535232,3968.547595,633.5475947,,3722,3241,445,0.009672219,0,2021,68.10756482,12/3/2024
99031,Spangle,Spokane County,53063,WA,520,498,0.090062112,2.442307692,444.2519685,-75.7480315,,498,399,86,0.026104418,0,2021,33.63802975,12/3/2024
99218,Spokane,Spokane County,53063,WA,6788,6138,0.090062112,2.565851503,7213.199977,425.199977,,6138,2981,2908,0.04056696,0.026,2021,55.03104891,12/3/2024
99001,Airway Heights,Spokane County,53063,WA,1690,2107,0.090062112,4.337278107,2189.622101,499.622101,,2107,990,1045,0.034171808,0,2021,78.9591967,12/3/2024
99018,Latah,Spokane County,53063,WA,155,159,0.090062112,1.8,142.2222222,-12.77777778,,159,91,26,0.264150943,0,2021,40.13185456,12/3/2024
99006,Deer Park,Spokane County,53063,WA,5282,5316,0.090062112,2.536349867,6123.760842,841.760842,,5316,4341,759,0.040632054,0,2021,64.96445485,12/3/2024
99009,Elk,Spokane County,53063,WA,1908,1820,0.090062112,2.318134172,3103.789283,1195.789283,,1820,1492,176,0.083516484,0.248,2021,100,12/3/2024
99204,Spokane,Spokane County,53063,WA,4298,4414,0.090062112,1.630991159,4155.755207,-142.2447932,,4414,1239,2689,0.110104214,0.032,2021,45.19916646,12/3/2024
99011,Fairchild AFB,Spokane County,53063,WA,860,868,0.090062112,4.027906977,798.1812933,-61.8187067,,868,6,808,0.062211982,0.025,2021,41.21584189,12/3/2024
99016,Greenacres,Spokane County,53063,WA,6840,7323,0.090062112,2.256871345,10732.11375,3892.113753,,7323,5653,1469,0.027447767,0.063,2021,100,12/3/2024
99012,Fairfield,Spokane County,53063,WA,374,400,0.090062112,2.689839572,219.3439364,-154.6560636,,400,241,91,0.17,0.071,2021,6.130313327,12/3/2024
99030,Rockford,Spokane County,53063,WA,497,369,0.090062112,1.820925553,287.2165746,-209.7834254,,369,273,33,0.170731707,0,2021,5.249103729,12/3/2024
97841,Imbler,Union County,41061,OR,209,205,-0.1875,2.583732057,198.937037,-10.06296296,,205,159,31,0.073170732,0,2021,43.65329204,12/3/2024
97876,Summerville,Union County,41061,OR,407,390,-0.1875,2.540540541,420.7765957,13.77659575,,390,292,58,0.102564103,0,2021,52.07427868,12/3/2024
97824,Cove,Union County,41061,OR,760,762,-0.1875,2.438157895,809.6276309,49.62763087,,762,599,136,0.035433071,0,2021,55.30418188,12/3/2024
97883,Union,Union County,41061,OR,1188,1181,-0.1875,1.898989899,1419.175532,231.1755319,,1181,747,260,0.147332769,0,2021,68.5823296,12/3/2024
97850,La Grande,Union County,41061,OR,7650,7466,-0.1875,2.272941176,7057.375776,-592.6242236,,7466,4132,2705,0.084248594,0.045,2021,40.64227133,12/3/2024
97867,North Powder,Union County,41061,OR,405,436,-0.1875,2.407407407,371.3538462,-33.64615385,,436,332,70,0.077981651,0,2021,40.06616385,12/3/2024
97827,Elgin,Union County,41061,OR,1248,1248,-0.1875,1.991185897,1366.522334,118.522334,,1248,858,199,0.153044872,0.05,2021,58.35127375,12/3/2024
98503,Lacey,Thurston County,53067,WA,17815,17755,-0.223404255,2.364243615,19891.77414,2076.77414,,17755,9687,7508,0.031540411,0.031,2021,60.57003592,12/3/2024
98502,Olympia,Thurston County,53067,WA,14811,15265,-0.223404255,2.383836338,16864.83227,2053.832271,,15265,8255,6228,0.0512283,0.041,2021,62.83914796,12/3/2024
98530,Bucoda,Thurston County,53067,WA,247,213,-0.223404255,2.461538462,263.65625,16.65625,,213,132,51,0.14084507,0,2021,55.5234117,12/3/2024
98589,Tenino,Thurston County,53067,WA,3006,3145,-0.223404255,2.313705921,3452.469878,446.4698778,,3145,2291,631,0.0709062,0.065,2021,63.85143083,12/3/2024
98579,Rochester,Thurston County,53067,WA,5217,5212,-0.223404255,2.462142994,6388.74348,1171.74348,,5212,4164,846,0.038756715,0.028,2021,71.66418578,12/3/2024
98513,Olympia,Thurston County,53067,WA,14039,14089,-0.223404255,2.597977064,15766.11302,1727.113015,,14089,10020,3264,0.057136773,0.058,2021,61.23223933,12/3/2024
98597,Yelm,Thurston County,53067,WA,9818,10034,-0.223404255,2.543084131,11402.29678,1584.29678,,10034,7444,1898,0.068965517,0.047,2021,65.17010962,12/3/2024
98576,Rainier,Thurston County,53067,WA,2109,2024,-0.223404255,2.463726885,2260.80254,151.8025404,,2024,1642,206,0.086956522,0.076,2021,55.99009716,12/3/2024
98516,Olympia,Thurston County,53067,WA,9942,10784,-0.223404255,2.547978274,12572.71317,2630.713169,,10784,7552,2950,0.026149852,0.033,2021,75.77263605,12/3/2024
98512,Olympia,Thurston County,53067,WA,12823,12840,-0.223404255,2.404507526,13555.3745,732.3745013,,12840,8362,3994,0.037694704,0.032,2021,54.46355636,12/3/2024
98506,Olympia,Thurston County,53067,WA,9021,8957,-0.223404255,2.040128589,9622.922843,601.9228429,,8957,5853,2708,0.044211231,0.07,2021,55.45053843,12/3/2024
98501,Olympia,Thurston County,53067,WA,18480,19140,-0.223404255,2.358441558,22723.48018,4243.480176,,19140,10722,7593,0.043103448,0.039,2021,72.1801977,12/3/2024
99157,Northport,Stevens County,53065,WA,410,416,-0.104026846,1.436585366,393.2937182,-16.70628183,,416,232,93,0.21875,0,2021,44.41337492,12/3/2024
99110,Clayton,Stevens County,53065,WA,668,659,-0.104026846,2.580838323,572.2946636,-95.70533643,,659,435,224,0,0,2021,33.88428294,12/3/2024
99026,Nine Mile Falls,Stevens County,53065,WA,3380,3360,-0.104026846,2.578106509,2887.390406,-492.6095938,,3360,3029,137,0.057738095,0.208,2021,33.63051305,12/3/2024
99109,Chewelah,Stevens County,53065,WA,2522,2486,-0.104026846,1.961934972,2273.265966,-248.734034,,2486,1613,460,0.16613033,0.099,2021,38.46932907,12/3/2024
99040,Wellpinit,Stevens County,53065,WA,426,374,-0.104026846,1.840375587,534.6734694,108.6734694,,374,255,80,0.104278075,0,2021,74.79659167,12/3/2024
99148,Loon Lake,Stevens County,53065,WA,1923,1938,-0.104026846,1.069682787,2129.603306,206.6033058,,1938,952,60,0.477812178,0,2021,59.6317373,12/3/2024
99114,Colville,Stevens County,53065,WA,5910,5903,-0.104026846,2.176988156,6160.345873,250.3458728,,5903,3675,1334,0.151448416,0,2021,52.94830117,12/3/2024
